index,Įstaigos_pavadinimas,Medikų_kiekis__VISO,Karantinuota__VISO,Medikų_kiekis_30___50_m_,Karantinuota_viso_30___50_m_,Medikų_kiekis_50__,Karantinuota_viso_50__,Medikai_reanimatologai__VISO,Karantinuota_reanimatologai__VISO,Atsarga,Apmokyti_medikai,FID,insert_timestamp
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 08:04:02.525232
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 08:04:02.525232
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 08:04:02.525232
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 08:04:02.525232
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 08:04:02.525232
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 08:04:02.525232
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 08:05:02.218916
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 08:05:02.218916
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 08:05:02.218916
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 08:05:02.218916
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 08:05:02.218916
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 08:05:02.218916
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 08:05:02.218916
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 08:05:02.218916
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 08:05:02.218916
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 08:05:02.218916
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 08:05:02.218916
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 08:05:02.218916
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 08:05:02.218916
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 08:05:02.218916
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 08:05:02.218916
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 08:05:02.218916
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 08:05:02.218916
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 08:05:02.218916
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 08:06:02.702411
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 08:06:02.702411
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 08:06:02.702411
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 08:06:02.702411
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 08:06:02.702411
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 08:06:02.702411
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 08:06:02.702411
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 08:06:02.702411
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 08:06:02.702411
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 08:06:02.702411
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 08:06:02.702411
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 08:06:02.702411
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 08:06:02.702411
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 08:06:02.702411
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 08:06:02.702411
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 08:06:02.702411
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 08:06:02.702411
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 08:06:02.702411
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 08:30:02.471651
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 08:30:02.471651
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 08:30:02.471651
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 08:30:02.471651
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 08:30:02.471651
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 08:30:02.471651
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 08:30:02.471651
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 08:30:02.471651
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 08:30:02.471651
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 08:30:02.471651
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 08:30:02.471651
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 08:30:02.471651
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 08:30:02.471651
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 08:30:02.471651
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 08:30:02.471651
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 08:30:02.471651
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 08:30:02.471651
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 08:30:02.471651
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 09:00:04.236754
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 09:00:04.236754
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 09:00:04.236754
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 09:00:04.236754
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 09:00:04.236754
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 09:00:04.236754
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 09:00:04.236754
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 09:00:04.236754
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 09:00:04.236754
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 09:00:04.236754
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 09:00:04.236754
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 09:00:04.236754
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 09:00:04.236754
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 09:00:04.236754
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 09:00:04.236754
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 09:00:04.236754
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 09:00:04.236754
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 09:00:04.236754
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 10:00:05.541852
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 10:00:05.541852
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 10:00:05.541852
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 10:00:05.541852
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 10:00:05.541852
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 10:00:05.541852
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 10:00:05.541852
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 10:00:05.541852
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 10:00:05.541852
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 10:00:05.541852
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 10:00:05.541852
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 10:00:05.541852
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 10:00:05.541852
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 10:00:05.541852
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 10:00:05.541852
8,VšĮ Naujininkų poliklinika,,,,,,,,,,,9,2020-03-23 17:00:04.125769
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 10:00:05.541852
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 10:00:05.541852
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 10:00:05.541852
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 10:04:56.031286
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 10:04:56.031286
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 10:04:56.031286
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 10:04:56.031286
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 10:04:56.031286
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 10:04:56.031286
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 10:04:56.031286
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 10:04:56.031286
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 10:04:56.031286
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 10:04:56.031286
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 10:04:56.031286
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 10:04:56.031286
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 10:04:56.031286
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 10:04:56.031286
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 10:04:56.031286
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 10:04:56.031286
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 10:04:56.031286
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 10:04:56.031286
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 10:14:13.168971
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 10:14:13.168971
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 10:14:13.168971
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 10:14:13.168971
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 10:14:13.168971
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 10:14:13.168971
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 10:14:13.168971
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 10:14:13.168971
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 10:14:13.168971
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 10:14:13.168971
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 10:14:13.168971
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 10:14:13.168971
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 10:14:13.168971
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 10:14:13.168971
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 10:14:13.168971
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 10:14:13.168971
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 10:14:13.168971
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 10:14:13.168971
9,VšĮ Naujosios Vilnios poliklinika,,,,,,,,,,,10,2020-03-23 17:00:04.125769
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 11:00:02.863650
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 11:00:02.863650
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 11:00:02.863650
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 11:00:02.863650
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 11:00:02.863650
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 11:00:02.863650
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 11:00:02.863650
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 11:00:02.863650
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 11:00:02.863650
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 11:00:02.863650
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 11:00:02.863650
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 11:00:02.863650
